TCP Optimizer,  choco install tcpoptimizer, Optimizes network, Optimizer, choco
HellZerg Optimizer,  https://github.com/WaterSippin/PCChanges/raw/main/optimizer.exe, Optimizes PC, Optimizer, url
Opera,  choco install opera, Web browser, Browser, choco
LightShot,  choco install lightshot, Screenshot tool, Tools, choco
Bitwarden,  choco install bitwarden, Password holder, Tools, choco
7Zip,  choco install 7zip.install, File compressor, Compression, choco
Everything Search,  choco install everything, Better search tool, Tools, choco
VS Code,  choco install vscode, Lightweight code editor, Programming, choco
VLC,  choco install vlc, Better media viewer, Media, choco
Terminal,  choco install microsoft-windows-terminal, Better terminal, Terminal, choco
Telegram,  choco install telegram, Chat app, Chat, choco
Steam,  choco install steam, Game launcher, Gaming, choco
Process Lasso, choco install plasso, Process optimizer, Optimizer, choco
QBittorrent,  choco install qbittorrent, Torrent downloader, Torrent, choco
Python3,  choco install python3, Python engine, Programming, choco
Handbrake,  choco install handbrake, Video encoder, Video, choco
Epic Games,  choco install epicgameslauncher, Game launcher, Gaming, choco
Geforce Experience,  choco install geforce-experience, NVidia GPU tools, Gaming, choco
Opera GX,  choco install opera-GX, Gaming browser, Browser, choco
Discord,  choco install discord, Chat app, Chat, choco
Zoom,  choco install zoom, Video chat app, Chat, choco
Glasswire, glasswire.ps1, Network monitor, Network, local
Google Drive, https://dl.google.com/drive-file-stream/GoogleDriveSetup.exe, Cloud storage, Cloud, url
JDownloader,  choco install jdownloader, Download manager, Download, choco
Motrix,  choco install motrix, Download manager, Download, choco
SmokeAPI, smokeapi.ps1, Game modding, Gaming, local
Pixelator, pixelator.ps1, Image editor, Image, local
Torguard, torguard.ps1, VPN, VPN, local
Blender,  choco install blender, 3D editor, 3D, choco
Obsidian,  choco install obsidian, Note taking app, Note, choco
Google Chrome,  choco install googlechrome, Web browser, Browser, choco
Thunderbird, choco install thunderbird, Email client, Email, choco
Adobe Substance Designer, Adobe Substance 3D Designer.ps1, 3D editor, 3D, local
Adobe Substance Painter, Adobe Substance 3D Painter.ps1, 3D editor, 3D, local
AHK Studio, AHK Studio.ps1, AHK editor, AHK, local
Asset Manager Studio, Asset Manager Studio Setup 0.15.ps1, Game Development, Game, local
Asset Forge, Asset Forge.ps1, 3D editor, 3D, local
Davinci Resolve, DaVinci Resolve 18.1.2.ps1, Video editor, Video, local
x64dbg, x64dbg.ps1, Debugger, Debug, local
Bulk Crap Uninstaller, choco install bulk-crap-uninstaller, Uninstaller, Tools, choco
BSG Launcher, BSGLauncher.ps1, Game launcher, Gaming, local
Chiptone, Chiptone.ps1, Sound editor, Sound, local
Docker, choco install docker-desktop, Container manager, Container, choco
Driver Booster, driverbooster.ps1, Driver updater, Tools, local
Origin, choco install origin, Game launcher, Gaming, choco
Flow Frames, flowframes.ps1, Animation editor, Video Editing, local
KenneyShape, kenneyshape.ps1, 3D editor, 3D, local
Vencord, vencord.ps1, Discord Plugin, Plugin, local
Undetected Cheat Engine, UDCE.ps1, Cheat Engine, Cheat, local
Wireshark, choco install wireshark, Network monitor, Network, choco
VMProtect, vmprotect_install.ps1, Software protector, Protection, local
Paint.net, choco install paint.net, Image editor, Image, choco
Parsec, choco install parsec, Game streaming, Gaming, choco
Pico Cad, Pico Cad.ps1, 3D editor, 3D, local
Reclass, ReClass.Net.ps1, Memory editor, Memory, local
Lightworks, Lightworks 2023.1.ps1, Video editor, Video, local
Visual Studio 2022, vs2022.ps1, Code editor, Programming, local
Process Monitor, choco install procmon, Process monitor, Tools, choco
Raylib Installer, RayLib Installer.ps1, Game Development, Game, local
ISLC, islc.ps1, Memory cleaner, Memory, local
Playnite, choco install playnite, Game launcher, Gaming, choco
